year,genre,book_title,author_name,translator,editor,gender,birth_year,image_url,publishing_imprint,big_five,num_pages,link
2002,Nonfiction,Paris 1919: Six Months That Changed The World,Margaret MacMillan,,,female,1943,https://images.gr-assets.com/books/1386924766l/26348.jpg,Random House,Penguin Random House,570,https://www.goodreads.com/book/show/26348.Paris_1919
1997,Fiction,Toward The End Of Time,John Updike,,,male,1932,https://images.gr-assets.com/books/1304162426l/205054.jpg,Random House,Penguin Random House,,https://www.goodreads.com/book/show/205054.Toward_the_End_of_Time
2017,Fiction,Exit West,Mohsin Hamid,,,male,1971,https://images.gr-assets.com/books/1477324680m/30688435.jpg,Riverhead,Penguin Random House,240,https://www.goodreads.com/book/show/30688435-exit-west
2017,Nonfiction,Priestdaddy,Patricia Lockwood,,,female,1982,https://images.gr-assets.com/books/1481223015m/31920820.jpg,Riverhead,Penguin Random House,336,https://www.goodreads.com/book/show/31920820-priestdaddy
2009,Fiction,Both Ways Is The Only Way I Want It,Maile Meloy,,,female,1972,https://images.gr-assets.com/books/1442664546l/5948644.jpg,Riverhead,Penguin Random House,240,https://www.goodreads.com/book/show/5948644-both-ways-is-the-only-way-i-want-it
2011,Nonfiction,Arguably: Essays,Christopher Hitchens,,,male,1949,https://images.gr-assets.com/books/1426386037l/10383597.jpg,Signal,Penguin Random House,816,https://www.goodreads.com/book/show/10383597-arguably
2015,Nonfiction,Between The World And Me,Ta-Nehisi Coates,,,male,1975,https://images.gr-assets.com/books/1451435027m/25489625.jpg,Spiegel & Grau,Penguin Random House,152,https://www.goodreads.com/book/show/25489625-between-the-world-and-me
2017,Fiction,The Power,Naomi Alderman,,,female,1974,https://images.gr-assets.com/books/1462814013m/29751398.jpg,Viking,Penguin Random House,288,https://www.goodreads.com/book/show/29751398-the-power
2016,Fiction,The Association Of Small Bombs,Karan Mahajan,,,male,1984,https://images.gr-assets.com/books/1441308136l/25810398.jpg,Viking,Penguin Random House,288,https://www.goodreads.com/book/show/25810398-the-association-of-small-bombs
2010,Fiction,Selected Stories,William Trevor,,,male,1928,https://images.gr-assets.com/books/1326700286l/8701280.jpg,Viking,Penguin Random House,576,https://www.goodreads.com/book/show/8701280-selected-stories
2006,Nonfiction,"Mayflower: A Story Of Courage, Community, And War",Nathaniel Philbrick,,,male,1956,https://images.gr-assets.com/books/1474488130m/4820.jpg,Viking,Penguin Random House,461,https://www.goodreads.com/book/show/4820.Mayflower
2011,Nonfiction,Malcolm X: A Life Of Reinvention,Manning Marable,,,male,1950,https://images.gr-assets.com/books/1347690389l/7940589.jpg,Viking,Penguin Random House,608,https://www.goodreads.com/book/show/7940589-malcolm-x
2003,Fiction,Living To Tell The Tale,Gabriel Garcia Marquez,Edith Grossman,,male,1927,https://images.gr-assets.com/books/1413192532l/4392.jpg,Vintage,Penguin Random House,496,https://www.goodreads.com/book/show/4392.Living_to_Tell_the_Tale
1998,Fiction,The Love Of A Good Woman: Stories,Alice Munro,,,female,1931,https://images.gr-assets.com/books/1364181686l/111151.jpg,Vintage,Penguin Random House,352,https://www.goodreads.com/book/show/111151.The_Love_of_a_Good_Woman
2005,Nonfiction,The Year Of Magical Thinking,Joan Didion,,,female,1934,https://images.gr-assets.com/books/1327878638m/7815.jpg,Vintage,Penguin Random House,227,https://www.goodreads.com/book/show/7815.The_Year_of_Magical_Thinking
2003,Nonfiction,Samuel Pepys: The Unequalled Self,Claire Tomalin,,,female,1933,https://images.gr-assets.com/books/1320496252m/333295.jpg,Vintage,Penguin Random House,528,https://www.goodreads.com/book/show/333295.Samuel_Pepys
2001,Fiction,"Hateship, Friendship, Courtship, Loveship, Marriage: Stories",Alice Munro,,,female,1931,https://images.gr-assets.com/books/1494106094m/111126.jpg,Vintage,Penguin Random House,323,https://www.goodreads.com/book/show/111126.Hateship_Friendship_Courtship_Loveship_Marriage
2001,Fiction,True History Of The Kelly Gang,Peter Carey,,,male,1943,https://images.gr-assets.com/books/1440509588l/110090.jpg,Vintage,Penguin Random House,384,https://www.goodreads.com/book/show/110090.True_History_of_the_Kelly_Gang
2000,Fiction,A Heartbreaking Work Of Staggering Genius,Dave Eggers,,,male,1970,https://images.gr-assets.com/books/1327714834l/4953.jpg,Vintage,Penguin Random House,485,https://www.goodreads.com/book/show/4953.A_Heartbreaking_Work_of_Staggering_Genius
2000,Fiction,The Human Stain,Philip Roth,,,male,1933,https://images.gr-assets.com/books/1308953496l/11734.jpg,Vintage,Penguin Random House,384,https://www.goodreads.com/book/show/11734.The_Human_Stain
1999,Nonfiction,The First World War,John Keegan,,,male,1934,https://images.gr-assets.com/books/1403194704m/8914.jpg,Vintage,Penguin Random House,475,https://www.goodreads.com/book/show/8914.The_First_World_War
1999,Fiction,A Star Called Henry,Roddy Doyle,,,male,1958,https://images.gr-assets.com/books/1348201768l/42718.jpg,Vintage,Penguin Random House,342,https://www.goodreads.com/book/show/42718.A_Star_Called_Henry
1998,Nonfiction,Life: A Natural History Of The First Four Billion Years Of Life On Earth,Richard Fortey,,,male,1946,https://images.gr-assets.com/books/1403190266m/373571.jpg,Vintage,Penguin Random House,400,https://www.goodreads.com/book/show/373571.Life
1998,Fiction,Preston Falls,David Gates,,,male,1947,https://images.gr-assets.com/books/1320471890m/1040401.jpg,Vintage,Penguin Random House,352,https://www.goodreads.com/book/show/1040401.Preston_Falls
1998,Nonfiction,"Titan: The Life Of John D. Rockefeller, Sr",Ron Chernow,,,male,1949,https://images.gr-assets.com/books/1386925052l/16121.jpg,Vintage,Penguin Random House,832,https://www.goodreads.com/book/show/16121.Titan
1997,Fiction,American Pastoral ,Philip Roth,,,male,1933,https://images.gr-assets.com/books/1203002984m/11650.jpg,Vintage,Penguin Random House,432,https://www.goodreads.com/book/show/11650.American_Pastoral
1997,Nonfiction,American Scripture: Making The Declaration Of Independence,Pauline Maier,,,female,1938,https://images.gr-assets.com/books/1388243525l/200836.jpg,Vintage,Penguin Random House,336,https://www.goodreads.com/book/show/200836.American_Scripture
1997,Fiction,The Puttermesser Papers,Cynthia Ozick,,,female,1928,https://images.gr-assets.com/books/1172306725l/162950.jpg,Vintage,Penguin Random House,,https://www.goodreads.com/book/show/162950.The_Puttermesser_Papers
1997,Nonfiction,Virginia Woolf,Hermione Lee,,,female,1948,https://images.gr-assets.com/books/1327984731m/18846.jpg,Vintage,Penguin Random House,893,https://www.goodreads.com/book/show/18846.Virginia_Woolf
1996,Nonfiction,Bad Land: An American Romance,Jonathan Raban,,,male,1942,https://images.gr-assets.com/books/1340653860m/497183.jpg,Vintage,Penguin Random House,384,https://www.goodreads.com/book/show/497183.Bad_Land
1996,Fiction,The Moor's Last Sigh,Salman Rushdie,,,male,1947,https://images.gr-assets.com/books/1359386233m/9865.jpg,Vintage,Penguin Random House,434,https://www.goodreads.com/book/show/9865.The_Moor_s_Last_Sigh
1996,Fiction,Selected Stories,Alice Munro,,,female,1931,https://images.gr-assets.com/books/1351625575m/14281.jpg,Vintage,Penguin Random House,688,https://www.goodreads.com/book/show/14281.Selected_Stories
2004,Fiction,The Plot Against America,Philip Roth,,,male,1933,https://images.gr-assets.com/books/1327711853m/703.jpg,Vintage,Penguin Random House,391,https://www.goodreads.com/book/show/703.The_Plot_Against_America
2004,Fiction,Runaway,Alice Munro,,,female,1931,https://images.gr-assets.com/books/1431005856m/14280.jpg,Vintage,Penguin Random House,335,https://www.goodreads.com/book/show/14280.Runaway
2004,Fiction,War Trash,Ha Jin,,,male,1956,https://images.gr-assets.com/books/1386922155l/14729.jpg,Vintage,Penguin Random House,368,https://www.goodreads.com/book/show/14729.War_Trash
2005,Fiction,Kafka On The Shore,Haruki Murakami,Philip Gabriel,,male,1949,https://images.gr-assets.com/books/1429638085l/4929.jpg,Vintage,Penguin Random House,467,https://www.goodreads.com/book/show/4929.Kafka_on_the_Shore
2000,Fiction,White Teeth,Zadie Smith,,,female,1975,https://images.gr-assets.com/books/1374739885l/3711.jpg,Vintage,Penguin Random House,448,https://www.goodreads.com/book/show/3711.White_Teeth
2004,Fiction,Snow,Orhan Pamuk,Maureen Freely,,male,1952,https://images.gr-assets.com/books/1357684424l/11691.jpg,Vintage,Penguin Random House,463,https://www.goodreads.com/book/show/11691.Snow
2017,Fiction,"Sing, Unburied, Sing",Jesmyn Ward,,,female,1977,https://images.gr-assets.com/books/1499340866m/32920226.jpg,Scribner,Simon & Schuster,285,https://www.goodreads.com/book/show/32920226-sing-unburied-sing
2014,Fiction,All The Light We Cannot See,Anthony Doerr,,,male,1973,https://images.gr-assets.com/books/1451445646m/18143977.jpg,Scribner,Simon & Schuster,531,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see
2013,Fiction,The Flamethrowers,Rachel Kushner,,,female,1968,https://images.gr-assets.com/books/1387146199m/15803141.jpg,Scribner,Simon & Schuster,383,https://www.goodreads.com/book/show/15803141-the-flamethrowers
2012,Nonfiction,"Far From The Tree: Parents, Children, And The Search For Identity",Andrew Solomon,,,male,1963,https://images.gr-assets.com/books/1363008433m/13547504.jpg,Scribner,Simon & Schuster,976,https://www.goodreads.com/book/show/13547504-far-from-the-tree
